quantity,value,unit,source
a_c,8.856589147288334,eV,Hydrostatic_exploration.ipynb
a_v,3.3701550387597288,eV,Hydrostatic_exploration.ipynb
a_gap,5.486434108527108,eV/linear-strain,Hydrostatic_exploration.ipynb
a_vol,1.828811369509036,eV/volumetric-strain,Hydrostatic_exploration.ipynb
a_dpt,1.8288113695090313,eV,Hydrostatic_exploration.ipynb
Eg0_fit,0.5725857142857143,eV,Hydrostatic_exploration.ipynb
Eg0_eq,0.5731000000000002,eV,Hydrostatic_exploration.ipynb
V0,40.03,A^3,Hydrostatic_exploration.ipynb
TOTEN_eq,-7.14297125,eV,Hydrostatic_exploration.ipynb
dEg_dP,-0.012811671142961003,eV/GPa,Hydrostatic_exploration.ipynb
B_eos,142.69411172204818,GPa,Hydrostatic_exploration.ipynb
P_resid,27.107,GPa,Hydrostatic_exploration.ipynb
quad_curv,-14.848926101203611,eV,Hydrostatic_exploration.ipynb
resid_max,1.0500553709859028,meV,Hydrostatic_exploration.ipynb
resid_rms,0.6234799582547361,meV,Hydrostatic_exploration.ipynb
T,300.0,K,Hydrostatic_exploration.ipynb
pi_eff,-106.11237339360984,1/linear-strain,Hydrostatic_exploration.ipynb
eps_linear_5pct,0.00272,-,Hydrostatic_exploration.ipynb
